text,intent
how can i see what goddamn delivery methods you offer?,delivery_options
i try to obtain restitutions of money,get_refund
i dont know how i could modify my shipping address,change_shipping_address
checking invoice from nine months ago,check_invoice
how can i update the user info?,edit_account
modifying details on premium account,edit_account
i want assistance to leave some feedback for your products,review
i need help with opening my platinum account,create_account
i want help seeign when will my product arrive,delivery_period
direct to mw someone,contact_human_agent
i have probleems setting the delivery address up,set_up_shipping_address
i need assistance to use the premium account,switch_account
help to leave feedback for your company,review
why i cannot set up a new delivery address valid,set_up_shipping_address
where to lodge a consumer reclamation against ur company,complaint
i need help to file a consumer complaint,complaint
how could icancel purchase order number,cancel_order
need to see my invoicesfrom person name,check_invoice
what do i need to do to ask for rebates?,get_refund
i do not know how i can recover my user pin,recover_password
need help seeing when my order is gonna arrive,delivery_period
i dont know how to purchase several products,place_order
i do not know what to do to talk with someone,contact_human_agent
i have to write an opinion can i get some help?,review
i have got to see your refund policy help me,check_refund_policy
assistance to see how long it takes for my item to arrive,delivery_period
i have an question about cancelling order order number,cancel_order
how do i get in touch with customer assistance?,contact_customer_service
editing info on gold account,edit_account
help me to take a quick look at my bill from person name,check_invoice
informing of problem with payment,payment_issue
i am calling to see what delivery options i have,delivery_options
is it plssible to order from delivery country?,delivery_options
i need to order something will you help me?,place_order
i do not know how i acn look for the bills from person name,check_invoice
can you help me create a account type account for my fiance?,create_account
can uhelp me resetting the password of my user profile,recover_password
reimburse refund amount dollar,get_refund
is it possible to take a quick look at my invoice 37777,check_invoice
assistance to set up a secondary shipping address,set_up_shipping_address
how to update the shipping address?,change_shipping_address
is it possible to inform of signup problems?,registration_problems
i need assistance checking the goddamn early exit penalty,check_cancellation_fee
i dont know what i need to do to close the account category account,delete_account
help to see your money back policy,check_refund_policy
needc to talk to an assistant,contact_human_agent
what do i need to do to subscribe to the newsletter?,newsletter_subscription
wanna see pjrchase order number damn current status,track_order
i dont know what i need to do to change to the account type account,switch_account
cancel premium acount,delete_account
i want to check what payment methods are allowed help me,check_payment_methods
the experience with ur brand was bad file a claim,complaint
i do not know how to retrieve the pass of my user,recover_password
where to download my bills from person name?,get_invoice
i need help unsubscribing to the newsletter,newsletter_subscription
i try to cancel the subscription to ur company newsletter,newsletter_subscription
i want assistance to receive your corporate newsletter,newsletter_subscription
how do i find my invoice 00108,check_invoice
do you have a method to leave a review about a service?,review
i need to see your goddamn refund policy how do i do it?,check_refund_policy
i have made a mistake help me modify purchase order number,change_order
can uhelp me to inform of errors with a signup,registration_problems
i cant enter my fucking delivery address,set_up_shipping_address
i do not know how to lodge a complaint,complaint
i need help leaving a review for a service,review
check bills from person name,check_invoice
can i remove a account type account,delete_account
i need to see at what time i can reach customer assistance,contact_customer_service
tell me at what time customer service available is,contact_customer_service
is it possible to locate my damn bill from person name?,check_invoice
i want help to demand a restitution of my money,get_refund
can utell me more about unsubscribing to ur newsletter,newsletter_subscription
can i check at what time i can reach customer service?,contact_customer_service
i have to enter my secondary shipping address,set_up_shipping_address
i do not know how i can downloaad the bill 12588,get_invoice
i cant modify theaddress,change_shipping_address
ned to leave my feedback about a product can i get some help,review
i dont know how i can call customer assistance,contact_customer_service
where to know if there is anything new on the rebate,track_refund
help me see the early termination fees,check_cancellation_fee
how could i check the early termination fees?,check_cancellation_fee
i have got to swap a damn product of order order number,change_order
how do i sett up my fucking delivery address,set_up_shipping_address
i lost the pass of my user how do i recover it,recover_password
is it possible to place a order from delivery country?,delivery_options
i need assistance to see the delivery methods,delivery_options
i want help to open a account category account,create_account
can i inform of rwgistration errors,registration_problems
someone stole my user key help me retrieving it,recover_password
what do i have to do to restore my user account pwd?,recover_password
wanna recover the pin code of my profile,recover_password
how can i find information about my standard account removal,delete_account
i need to see the current status of order order number,track_order
there is a problem submitting the secondary delivery address,set_up_shipping_address
i dont know how i can submit feedback for your products,review
i want help to speak with a human agent,contact_human_agent
i have to use the premium profile how to do it?,switch_account
i cannot submit another shipping address,set_up_shipping_address
i have a trouble updating my shipping address,change_shipping_address
i dont know what to do to make a reclamation,complaint
i dont know how i could give a quick look at invoice 00108,check_invoice
need to set my new shipping address up,set_up_shipping_address
i want help submitting my delivery address,set_up_shipping_address
i want to know about updating my delivery address,change_shipping_address
help to check the status of my compensation,track_refund
how could i inform of issues with payment?,payment_issue
need assistance to get my bills frlm person name,get_invoice
find information about the cancellation of a pro account,delete_account
i want help to locate the invoice from person name,check_invoice
help me informing of a problem with signup,registration_problems
need to see the damn eta of the purchase order number help me,track_order
there are issues trying to update the goddamn address,change_shipping_address
is it possible to give a quick look at the bill 12588?,check_invoice
help me see purchase order number status,track_order
in what cases can i request reimbursements?,check_refund_policy
need assistance cancelling my subscription to ur newsletter,newsletter_subscription
assistance to report issues with payment,payment_issue
can uhelp me ti leave a damn review for a product,review
another account category account,create_account
list payment emthods,check_payment_methods
i need help to speak to a bloody human agent,contact_human_agent
can you help me to check what methods for delivery i have?,delivery_options
could uhelp me switch some articles of order order number,change_order
canceling subscription to ur company newletter,newsletter_subscription
i am trying to shop something,place_order
how to switch some items of purchase order number?,change_order
assistance to buy several of your product,place_order
is it possible to talk to customer assistance ?,contact_customer_service
need help to modify purchase order number,change_order
inform of problems with payments,payment_issue
i dont know how i can check my bill 37777,check_invoice
could ya help mw check ur reimbursement policy,check_refund_policy
i want assistance to cancle purchase order number,cancel_order
changing information on platinum account,edit_account
i want assistance to notify of a problem with a registration,registration_problems
i try to see my compensation current status,track_refund
need assistance to notify of issues with a signup,registration_problems
ineed to contact an agent,contact_human_agent
can i enter a secondary shipping address,set_up_shipping_address
assistance setting up a delivery address,set_up_shipping_address
i have go to notify of a problem with a signup,registration_problems
where do i check what shipment methods are available?,delivery_options
i want assistance seeing your accepted payment methods,check_payment_methods
can i swap some items o order order number?,change_order
give me information about a lost pin,recover_password
i dont want purchase order number,cancel_order
how to reset my profile pin,recover_password
i do not know what to do to report an error with signup,registration_problems
want help canceling purchase order number,cancel_order
assistance to remove an item from order order number,change_order
what do i need to do to demand my money back?,get_refund
can uhelp me subscribe to ur newsletter,newsletter_subscription
report payment issue,payment_issue
what do i need to do to set up another shipping address?,set_up_shipping_address
wshere do i list ur allowed payment options,check_payment_methods
how do i check the termination penalties ?,check_cancellation_fee
what do i need to do to download my invoice 12588?,get_invoice
help me to check when will my parcel arrive,delivery_period
can i update order00004587345?,change_order
i have to locate the bill from person name i need assistance,check_invoice
can i check in which situations can i request a refund,check_refund_policy
i missed several damn articles in order order number,change_order
can ya help me to see the early termination fees,check_cancellation_fee
i want to check order order number current status help me,track_order
could you help me get compensations of my money?,get_refund
would it be possible to notify of signup issues?,registration_problems
problem entering the shipping address,set_up_shipping_address
i need assistance solving payment errors,payment_issue
can uhelp me informing of a payment issue,payment_issue
i dont have a bloody standard account can i open one?,create_account
i have to lodge a consumerr claim against your company,complaint
i try to talk to an assistant,contact_human_agent
i do not know how i can see the terminationpenalty,check_cancellation_fee
correcting info on account category account,edit_account
lodging customer complaint against ur business,complaint
want assistance to open a standard account,create_account
i do not know how to speak with a person,contact_human_agent
i want to check the eta of purchase order number,track_order
i do not know what i have to do to close the platinum accont,delete_account
see the bill 85632,check_invoice
i have got to take a quick look at bill 12588 i need help,check_invoice
new standard account for wife,create_account
i need assistance to change to the account category account,switch_account
i want help informingof troubles with online payments,payment_issue
help me to see what payment payment modalities you accept,check_payment_methods
need help to place an oredr,place_order
could you help me sending some feedback?,review
need assistance receiving ur company newsletter,newsletter_subscription
i dont know how i can speak with a goddamn person,contact_human_agent
is there a section to submit some feedback for ur company,review
i want to know more about creating a account category cacount,create_account
is it possible to see thew eta of the purchase order number?,track_order
help me to check in which cases can i request refunds,check_refund_policy
i want help to get compensations,get_refund
i want assistance to reset the pin code of my account,recover_password
where can i see if there are any updates on the restitution?,track_refund
how can i ask for a restitution of my money?,get_refund
can you help me report a payment issue?,payment_issue
want assistance lodging a reclamation,complaint
how can i see how son can i expect my package?,delivery_period
review for your services,review
i would like to modify my address,change_shipping_address
i have to get my nivoice 85632 could ya help me,get_invoice
where can i find information about changing my address?,change_shipping_address
i need help to see the available payment methods,check_payment_methods
cfan i check the cancellation fees,check_cancellation_fee
i need to take a quick look at my invoice 85632,check_invoice
want assistance switching to the premium cacount,switch_account
i have problem with creating a account category account,create_account
how can i notify of an error with goddamn signup?,registration_problems
get ibll 00108,get_invoice
help me add some articles to purchase order number,change_order
i want to edit the shipping address,change_shipping_address
i need assistance to see what delivery methods are there,delivery_options
i dont know how to locate the invoice 85632,check_invoice
i want assistance to buy some products,place_order
i have to make a consumer reclamation against your company,complaint
i have an issue setting the secondary delivery address up,set_up_shipping_address
where can i see the current status of purchase order number,track_order
i try to see the early exit penalty,check_cancellation_fee
i have a problem setting up a new shipping address,set_up_shipping_address
help to make a complaint,complaint
i need help with cancelling order order number,cancel_order
help to check at what time customer support available is,contact_customer_service
clsoe freemium account,delete_account
is it possible to delete the standard account?,delete_account
how do i see ur accepted payment options,check_payment_methods
what do i hafe to do to check ur payment methods,check_payment_methods
i dont know what to do to submit the new delivery address,set_up_shipping_address
i have to submit a shipping address how do i do it?,set_up_shipping_address
i call to download my bill from person name,get_invoice
i need assistajce to remove something from order order number,change_order
is it possible to order from delivery city?,delivery_options
need to modify the details on my user profile how to do it,edit_account
new gold account for wife,create_account
have problems with a shipping address update,change_shipping_address
i want assistance obtaining reimbursements,get_refund
what do i need to do to inform of isues with payments?,payment_issue
assistance cancelling order order number,cancel_order
wznt help to switch to the bloody freemium account,switch_account
how to use the pro profile?,switch_account
i need help to delete something from order order number,change_order
i have to submit my new delivery address will you help me?,set_up_shipping_address
i weant help using the account category account,switch_account
i need assistance notifying of troubles with online payments,payment_issue
i want assistance using the gold account,switch_account
can ya help me notify of a trouble with online payments,payment_issue
what is order order number status?,track_order
problem with standard account deletions,delete_account
can i contact customer assistance?,contact_customer_service
where do i see the accepted payment modalities,check_payment_methods
i dont know how i can inform of payment issues,payment_issue
canya help me canceling my subscription to the newsletter,newsletter_subscription
i have to change the info on my user account i need help,edit_account
i dont know what to do to see my reimbursement status,track_refund
help me to informof an issue with a registration,registration_problems
create account type account,create_account
i want assistance writing a comment for your company,review
i try to report an payment error,payment_issue
help me to list the payment options,check_payment_methods
how to request rebates of my money,get_refund
i dont know how to delete my account category account,delete_account
i waqnt information about opening standard accounts,create_account
see in which cases can i ask to be reimbursed,check_refund_policy
help me see the eta of the purchase order number,track_order
the shipping address is not valid,set_up_shipping_address
troubles setting up the secondary shipping address,set_up_shipping_address
i dont know what to do to close my freemium account,delete_account
what do i needto do to inform of registration issues,registration_problems
i do not know how i can create a platinum account,create_account
i want assistance to demand refunds of my money,get_refund
assistance to get a rebate,get_refund
i dont know how i could delpete the goddamn account type account,delete_account
i want assistance talking with an person,contact_human_agent
i want help to edit order order number,change_order
i need supports trying to modify the address,change_shipping_address
i need help to obtain refunds of money,get_refund
can you help me to talk with an assistant?,contact_human_agent
i dont know what i need to do to speak to an operator,contact_human_agent
help updating order order number,change_order
i need help canceling my subscription to the newsletter,newsletter_subscription
i have to change some damn articles of purchase order number,change_order
could i contact an operator?,contact_human_agent
i cant retrieve my user account key,recover_password
i cannot add some articles to order order number,change_order
how to use the account type account,switch_account
what do i have to do to recover my profile key,recover_password
i dont know what i have to do to talk to an assistant,contact_human_agent
i need to correct the address can you help me?,change_shipping_address
how do i check when will my item arrive?,delivery_period
i need help to see the cancellation penalty,check_cancellation_fee
help lodging a customer complaint,complaint
where to inform of issues with a signup?,registration_problems
need help to check the eta of purchase order number,track_order
is it possible to talk to customer support?,contact_customer_service
help me see what damn shipment methods are available,delivery_options
i want help adding an item to purchase order number,change_order
opening new standard account,create_account
how do i create a account category account?,create_account
what do i have to do to look for the invoice 85632?,check_invoice
checking the shipment options,delivery_options
correct details onpro account,edit_account
i dont use the goddamn gold account i want to delete it,delete_account
what is the shipping period for this order,delivery_period
i need assistance talking with a fucking operator,contact_human_agent
help to check what options for delivery are there,delivery_options
i want help acquiring a product,place_order
i donbt know what i need to do to close my pro account,delete_account
wanna track purchase order number will ya help me,track_order
i have to change some articles of order order number help me,change_order
want help to make a complaint,complaint
i do not have a goddamn pro acciunt yet help to create one,create_account
information about canceling the newsletter subscription,newsletter_subscription
i want help to change the info on my user,edit_account
help me to restore the password of my user account,recover_password
have problems with a shipping address modification,change_shipping_address
do you have a free phone number to call customer support?,contact_customer_service
want assistance opening a standard account,create_account
assistance to add a damn article to order order number,change_order
i have got to restore my user access key,recover_password
i have got to leave my feedback i need assistance,review
want help checking what shipment methods you offer,delivery_options
help editing order order number,change_order
i have to download bill 12588 i need help,get_invoice
where can i get the invoice 12588,get_invoice
can youhelp me reporting troubles with online payments?,payment_issue
where can i submit my feedback for a product?,review
help to see the invoice 12588,check_invoice
i have got to speak with customer support can you help me?,contact_customer_service
i have entered a wrong goddamn address how could i edit it?,change_shipping_address
i have chosen a wrong shipping address how do i correct it?,change_shipping_address
remove account type accoint,delete_account
can you help me writing a comment for a service?,review
can you help me lodging a reclamation?,complaint
i have got to download the invoice 37777 how can i do it?,get_invoice
i want to check what delivery options i have how to do it?,delivery_options
i do not know how i can cancel the standard acconut,delete_account
is it possible to place an order from delivery city?,delivery_options
help me checking in which cases can i request refunds,check_refund_policy
wanna swap some items of order order number,change_order
how can i get information about updating order order number,change_order
i want to see the methods for delivery how could i do it?,delivery_options
i want to see the eta of order order number how do i do it?,track_order
i need help signing up to the newsletter,newsletter_subscription
show current status of restitution,track_refund
need assistance to track order order number,track_order
need assistance trying to corrcet my delivery address,change_shipping_address
i have got to notify of issues with online payment,payment_issue
i do not know how to know if there are any news on my rebate,track_refund
can you help me see when my product is going to arrive?,delivery_period
i need assistance to see the available payment modalities,check_payment_methods
i dont know how to check ther status of purchase order number,track_order
need to purchase several of ur article,place_order
need assistance resetting the access key of my user account,recover_password
cancel the subscription to ur company newsletter,newsletter_subscription
want help to inform of errors with signup,registration_problems
i am trying to see in what cases can i ask for refunds,check_refund_policy
im caalling to check how soon can i expect the damn order,delivery_period
want help seeing in what cases can i request my money back,check_refund_policy
would it be possible to shop several articles?,place_order
i want help to modify the address,change_shipping_address
i need help earning several articles,place_order
where to receive goddamn reimbursements of mooney,get_refund
i need assistance unsubscribing to the newsletter,newsletter_subscription
i paid currency symbolrefund amount for an article i want help getting a rebate,get_refund
i dont know what i need to do to retrieve my pin,recover_password
i have to change ot the account type account how can i do it,switch_account
need assistance creating a freemium account,create_account
what do i need to do to earn some items?,place_order
i want to see the eta of the purchase order number i need help,track_order
i dont want order order number could i cancel it,cancel_order
help seeing what delivery options you offer,delivery_options
i want to submit a delivery address i need assistance,set_up_shipping_address
help me make a claim against your business,complaint
assistance with creating a freemium account,create_account
assistance to see when my bloody item is gona arrive,delivery_period
can i see how long it usually takes for my item to arrive,delivery_period
help me notifying of a signup problem,registration_problems
need help to check how soon can i expect my parcel,delivery_period
i need assistance to purchase some of your article,place_order
help me to change to the gold account,switch_account
is it possible to delete a premium account,delete_account
where could i receive your company newsletter?,newsletter_subscription
i do not know what i need to do to download my bill 00108,get_invoice
how could i edit the information on my user?,edit_account
help me contact customer assistance,contact_customer_service
need help to notify of an error with online paymemts,payment_issue
could you help me see purchase order number current status?,track_order
need assistance checking my compensation current status,track_refund
i need assistance to get rebates,get_refund
can i file a complaint against your businhess?,complaint
i dont know how to contact customer assistance,contact_customer_service
i am trying to see your reimbursement policy,check_refund_policy
the experience with you was too bad help me lodge a claim,complaint
see my invoices from person name,check_invoice
cfan you help me to unsubscribe from the newsletter?,newsletter_subscription
i need help updating my shipping address,change_shipping_address
can yahelp me getting a compensation,get_refund
i would like information about a account type account removal,delete_account
how could i receive a refund?,get_refund
i lost the access key of my user profile help to recover it,recover_password
i dont know what i need to do to restore my pin,recover_password
where can i lodge a complaint against your company?,complaint
what do i need to do to reset my user cacount pwd,recover_password
what do i need to do to talk to customer assistance?,contact_customer_service
i need to modify the data on my profile could you help me?,edit_account
could you help me to file a damn consumer complaint?,complaint
updating detais on standard account,edit_account
i need help with creating my platinum account,create_account
i dont know how to retrieve the pass of ym account,recover_password
i do not know how to download my invoice from person name,get_invoice
i do not know how i can check the cancellation charges,check_cancellation_fee
how can i speakto customer assistance,contact_customer_service
assistance to check in whih cases can i ask for refunds,check_refund_policy
ya have an address to send some feedback about ur services,review
can you help me see the cancellation charges?,check_cancellation_fee
i am looking for shipping periods,delivery_period
i want to inform of troubles with payments,payment_issue
i want to oldge a claim against your business,complaint
i need to see what delivery methods you offer,delivery_options
find informationabout the termination of a freemium account,delete_account
help me adding some products to order order number,change_order
i need assitance getting the invoice 00108,get_invoice
i want assistance modifying my shippimg address,change_shipping_address
help me request a compensation of money,get_refund
need assistaance to see the accepted payment methods,check_payment_methods
where do i correct the fucking shipping address?,change_shipping_address
i want to submit my feedback for your products help me,review
assistance subscriving to the company newsletter,newsletter_subscription
i try to see if there are any updates on my refund,track_refund
i do not know how to inform of a signup problem,registration_problems
howq can i set up the secondary delivery address,set_up_shipping_address
help me to see what payment paymnet modalities are available,check_payment_methods
how do i notify of a signup error ?,registration_problems
how do i use the account category profile,switch_account
i have problems with an address correction,change_shipping_address
i want information about the termination of my pro account,delete_account
i am trying to see when my package is going to arrive,delivery_period
assistance with creating a gold account,create_account
can you help me notify of errors with signup?,registration_problems
can i talk to an agent,contact_human_agent
i have to see how long it takes for the product to arrive,delivery_period
where do i check how long it takes for my product to arrive?,delivery_period
how can i create a gold account for my fiance?,create_account
create freemium account,create_account
help notifying of signup problems,registration_problems
problem with cancelling order order number,cancel_order
can you help me to ask for a reimbursement of my money?,get_refund
in which situations can i request the damn refunds?,check_refund_policy
where to see the bloody eta of the order order number,track_order
i need help to notify of errors with payment,payment_issue
where to get my damn bills from person name?,get_invoice
i dot know what to do to notify of damn payment issues,payment_issue
can i place an order from delivery country,delivery_options
how to inform of an error with a signup?,registration_problems
i lost invoice 00108 will you find it for me?,check_invoice
i dont know how i can leave feedback,review
help checking your money back policy,check_refund_policy
need to see what hours customer assistance available is,contact_customer_service
see ibll 37777,check_invoice
i need help checking the early termination penalties,check_cancellation_fee
look for my damn bill from person name,check_invoice
i need help to noptify of problems with online payments,payment_issue
i do not know what to do to receive compensations of money,get_refund
i need to see in what situations can i request my money back,check_refund_policy
i want to send feedback about your company,review
i want to locate purchase order number help me,track_order
i have to sign up to your corporate newsletter help me,newsletter_subscription
i have to demand a compensation,get_refund
i want information about correcting purchase order number,change_order
i have to correct purchase order number i need assistance,change_order
i dont know what to do to recover the pwd of my profile,recover_password
uare not helpful at all help me talk to a goddamnagent,contact_human_agent
im trying to unsubscribe from the newsletter,newsletter_subscription
assistance filing a customer claim against ur business,complaint
where can i get a restitution of money?,get_refund
i dont know what to do to check bill 37777,check_invoice
can you help me track order order number?,track_order
can i see at what time i can contact customer assistance?,contact_customer_service
i canr pay can ya help me report issues with online payment,payment_issue
how to see what shipment options i can choose?,delivery_options
i cannot find the termination penalties i need assistance,check_cancellation_fee
i canno longer afford purchase order number,cancel_order
do uhavea tollfree number to speak to customer assistance,contact_customer_service
can ya help me writing a comment about a product,review
can i open a gold account?,create_account
i want help to see the options for shipment,delivery_options
i expect a refund of currency symbolrefund amount,track_refund
create new platinum account,create_account
i want to locate order order number can i get some help?,track_order
i want to know about signing up to your company newsletter,newsletter_subscription
im calling to lodge a customer reclamation,complaint
i need help notifying of registration errors,registration_problems
i dont know how i can check the cancellatio charges,check_cancellation_fee
i do not know what i need to do to modify the address,change_shipping_address
wanna see how long refunds take could ya help me,check_refund_policy
can you help me to chat with an operator?,contact_human_agent
can i change to the pro account?,switch_account
where can i modify my delivery address?,change_shipping_address
i have got to make an consumer claim against ur business,complaint
i chose a wrong address by mistake,change_shipping_address
i dont know how to gt the invoices from person name,get_invoice
i do not know how i can report an issue with signup,registration_problems
want help to see when my parcel is gonna arrive,delivery_period
can you help me get a restitution of my money?,get_refund
can i change to the platinum account?,switch_account
need to check what hours i can reach customer service,contact_customer_service
check the eta of the purchase order number,track_order
want assistance seeing your reimbursement policy,check_refund_policy
i am trying to leave feedback for a service,review
changing details on gold account,edit_account
i have to check at what time i can reach customer support,contact_customer_service
can i remove an article from order order number?,change_order
i need to submit the secondary shipping address,set_up_shipping_address
what do i have to do to chat with an agent,contact_human_agent
want help talking to someone,contact_human_agent
can you help me check the early exit penalties?,check_cancellation_fee
what do i have to do to cancel my account category account?,delete_account
i dont know how to report signup issues,registration_problems
removing account category account,delete_account
create another account category account for mum,create_account
wqhere can i order some of ur article,place_order
help me inform of a problem with signup,registration_problems
help me to purchase some of your article,place_order
i need assistance to get a rebate of my money,get_refund
i do not know how to list the payment methods,check_payment_methods
eqrn several of your item,place_order
informing of issues creating user account,registration_problems
how to correct the shipping address,change_shipping_address
edit information on freemium account,edit_account
how could ilook for the bills from person name,check_invoice
what do i have to do to cntact an assistant?,contact_human_agent
i cnt cancel my company newsletter subscription,newsletter_subscription
where can i get information about opening a account type account?,create_account
i want help to submit the new delivery address,set_up_shipping_address
i do not know how to file a claim against ur business,complaint
help to ask for a restitution of money,get_refund
how to report errors with online payments,payment_issue
want help to file a consumer claim,complaint
where can i see the eta of purchase order number,track_order
i need to check what delivery options i have help me,delivery_options
help setting up my new delivery address,set_up_shipping_address
i have to check the early exit fees help me,check_cancellation_fee
help to make a consumer claim against your company,complaint
i want assistance checking what delivery methods i have,delivery_options
i have got to subscribe to your newsletter help me,newsletter_subscription
i dont know how i can download bill 85632,get_invoice
i dont know how i can notify of a payment issue,payment_issue
need assistance listing ur acceptedpayment modalities,check_payment_methods
how can i delete some products from purchase order number ?,change_order
i want help trying to modify my delivery address,change_shipping_address
do you have a mail to get in touch with customer assistance?,contact_customer_service
i do not know how to earn several of your item,place_order
i want to obtain refunds of my money,get_refund
help me see my bills from person name,check_invoice
help lodging a complaint against your organization,complaint
where could i sign up to the damn corporate newsletter?,newsletter_subscription
where do i see your accepted payment methods?,check_payment_methods
need to look for the invoice from person name,check_invoice
how do i use the freemium account?,switch_account
how do i remove something from order order number?,change_order
withdrawal penalties,check_cancellation_fee
change details on gold account,edit_account
editing information on premium account,edit_account
i cant see if there is anything new on the compensation,track_refund
i try to notify of an error with online payments,payment_issue
i want assistance to check what payment options are allowed,check_payment_methods
i want help to make a customer claim against your busines,complaint
open another premium account for mum,create_account
id like to see how long refunds take help me,check_refund_policy
correcting information on gold account,edit_account
where could i get information about updating my address?,change_shipping_address
i am trying to recover the pass of my profile,recover_password
what do i need to do to give a quick look at the bill 00108,check_invoice
i try to see your payment options,check_payment_methods
im calling to see the shipment methods,delivery_options
how do i check what hours i can call customer assistance ?,contact_customer_service
i cannot sign up assistance reporting fucking signup issues,registration_problems
what do i need to do to cancell a account category account?,delete_account
i do not know what to do to create a account category account,create_account
can you help me speaking with a human agent?,contact_human_agent
will you show me the accepted payment methods?,check_payment_methods
i aint registered help opening a standard account with you,create_account
i dont know what to do to delete the goddamn standard acount,delete_account
i need to reocver my pass,recover_password
what is the delivery period for this order,delivery_period
can ya help me using the fucking account category profile,switch_account
assistance checking the goddamn termination penalties,check_cancellation_fee
i have to leave feedback for ur company,review
i want help to cancel the subscription to the nwsletter,newsletter_subscription
want help seeing how soon can i expect the parcel,delivery_period
i need help checking the withdrawal fee,check_cancellation_fee
i want assistance removing my account type account,delete_account
i need assistance to talk to customer service,contact_customer_service
i have an trouble editing the address,change_shipping_address
i have got to recover the pin of my user,recover_password
i wanmt assistance checking the cancellation penalty,check_cancellation_fee
assistance to list your acepted payment modalities,check_payment_methods
locate billinvoice number,check_invoice
i am trying to talk with customer support,contact_customer_service
i try to check how long reimbursements usually take,check_refund_policy
i do not know how to open a damn freemium account,create_account
download bill 37777,get_invoice
i do not know how i can enter another shipping address,set_up_shipping_address
assistance to shop some of ur article,place_order
i entered a wrong address help me editing it,change_shipping_address
i have troubles trying to updste my delivery address,change_shipping_address
im calling to make a complaint against ur company,complaint
help me checking how long it takes for the order to arrive,delivery_period
